event_id,lng,lat,title,description,event_time
a0f55093-5320-4541-ba32-14fd040f3abb,-122.661983,45.530986,"Geo Location: 1135 NE Martin Luther King Jr Blvd, Portland, OR 97232, USA","Transcript: please send by the Burgerville","2018-03-07 15:17:00.074797"
b93d98c1-0749-4200-a33e-e7f9f028fa61,-122.5351759,45.526311,"Geo Location: Portland, OR, USA","Transcript:  a group of black males and females on their teens looks like they're kind of motivating westbound on Glisan","2018-03-07 15:17:01.291210"
4cd17c6c-7e05-4420-8f84-5192c5b9ad0a,-122.6819038,45.5246003,"Geo Location: 210 NW 11th Ave, Portland, OR 97209, USA","Transcript:  brewing coffee with no victim reading list","2018-03-07 15:17:43.201473"
b6bb3c70-ce1a-4323-87b4-3e748caed338,-122.6685335,45.5081843,"Geo Location: Portland, OR 97201, USA","Transcript: there are no vehicles south on the Markham Bridge","2018-03-07 20:08:03.963263"
d9ad2cfb-face-4df7-a4be-469bf092827d,-122.6754185,45.5155828,"Geo Location: One Main Place, 101 SW Main St Ste. 1905, Portland, OR 97204, USA","Transcript:  Utah Power only Trucking check a mail package breathing complaining of having seizures multiple today","2018-03-07 20:08:55.669775"
c2cc1a34-794d-4642-b048-0ab70965afc0,-122.6523782,45.5263349,"Geo Location: 305 NE 102nd Ave suite 250, Portland, OR 97220, USA","Transcript: SR-22 Washington Adam David Nora 08839","2018-03-07 20:09:34.401539"
4c2f88a8-1dad-4235-8a46-907890ab643c,-122.4837998,45.5949686,"Geo Location: SE 184th Ave, Vancouver, WA 98683, USA","Transcript:  I'm Giving Up on 184th Mountain View","2018-03-07 20:10:19.943536"
0a88fa27-4624-4efd-a27d-a3d49b1fb4fb,-122.6952198,45.5236229,"Geo Location: 64 NW King Ave, Portland, OR 97210, USA","Transcript:  64 King Drive","2018-03-07 20:13:21.087531"
a9a1b260-7838-4afa-a636-8463b348c866,-122.6764815,45.5230622,"Geo Location: Oregon, USA","Transcript:  I-5 Northbound at Multnomah Oregon","2018-03-07 20:13:23.340077"
c35f1735-31fc-4097-8c51-7cef226595b7,-122.7472639,45.488058,"Geo Location: West Hills Office Plaza., 4475 SW Scholls Ferry Rd # 108, Portland, OR 97225, United States","Transcript: call Vivian Adams Apartments 1201 Southwest","2018-03-07 20:14:04.710546"
a63dc1f4-20c8-4c93-8815-3a604e18f706,-122.7018566,45.4634807,"Geo Location: 8501 OR-99W, Portland, OR 97219, USA","Transcript:  8501 North East 99","2018-03-07 20:15:35.742999"
b9da19d2-2ea5-468b-a2d7-2c76d6ca7b8a,-122.7720172,45.5103526,"Geo Location: 9205 SW Barnes Rd, Portland, OR 97225, USA","Transcript:  California medical station","2018-03-07 20:15:37.074813"
2797ef6d-e913-41ba-9686-bfa680d41d6a,-122.800157,45.3772901,"Geo Location: 19585 SW 118th Ave, Tualatin, OR 97062, USA","Transcript: California medical center","2018-03-07 20:16:19.468066"
129452c1-227c-4d64-8f0f-34a7e7be3143,-122.6997181,45.5357815,"Geo Location: 1818 NW 23rd Pl, Portland, OR 97210, USA","Transcript:  and pretty in Spanish","2018-03-07 20:17:05.759451"
5f6c8d2f-265c-4659-b233-1bd88ac9e63f,-122.7063748,45.5037184,"Geo Location: 2777 SW Roswell Ave, Portland, OR 97201, USA","Transcript: 3757 I'm in Roswell I have a less lethal if need be","2018-03-07 20:17:50.297470"
8ef6ef16-baf3-4c1c-b73f-e0755a7ded14,-122.6569403,45.5137807,"Geo Location: 833 SE Main St, Portland, OR 97214, USA","Transcript:  drive around real quick","2018-03-07 20:17:53.164889"
73b7d7f5-2aa9-488a-b16b-65e6eaf4c99c,-122.7177841,45.5885051,"Geo Location: 4934 N Trenton St, Portland, OR 97203, USA","Transcript: 4934 North Trenton ex-boyfriend's there threaten to take the baby for a Hispanic male 21 blackjack","2018-03-07 20:20:04.436650"
7421470e-4998-4d07-9fec-914c5077f7af,-122.679191,45.5196936,"Geo Location: 616 SW Broadway, Portland, OR 97205, USA","Transcript: 2558 via Wireless is associated with a Honda Civic","2018-03-07 20:21:35.592736"
94ff306e-baa0-441e-8f85-5f4baf8d1ea8,-96.7111835,41.8391375,"Geo Location: 200 S Lincoln St # 203, West Point, NE 68788, USA","Transcript:  2423 cuming County Jail","2018-03-07 20:23:02.714681"
5a3466fa-063b-48ff-9235-d37a9dfc122e,-122.7767004,45.519065,"Geo Location: Portland, OR 97225, USA","Transcript: 6014 traffic Washington Place","2018-03-07 20:23:53.503339"
7bdd8c5c-404f-4910-a6fd-460d7b3bb225,-122.6764815,45.5230622,"Geo Location: Oregon, USA","Transcript:  Washington 45750","2018-03-07 20:23:55.064359"
59236e30-dbca-4544-86eb-e6f791cc5368,-122.5784607,45.5082178,"Geo Location: 8220 SE Harrison St #3, Portland, OR 97216, USA","Transcript:  if you want all three 2L offer check to zero","2018-03-07 20:23:57.604065"
3b756e0a-7794-4378-a294-a4e92a1419ea,-122.664162,45.532035,"Geo Location: 1225 NE 2nd Ave, Portland, OR 97232, USA","Transcript:  19 year old daughter needs to go to Unity","2018-03-07 20:24:36.921041"
a38b62e3-1373-4743-9cb5-b4750961fe38,-122.7431015,45.4924033,"Geo Location: Portland, OR 97221, USA","Transcript:  64 Valley Court","2018-03-07 20:26:08.507067"
2f4665dd-d62a-4df6-80ac-67d14fa08b7a,-122.6563686,45.5968515,"Geo Location: 838 NE South Shore Rd, Portland, OR 97211, USA","Transcript:  already in route on the same dance to 838 South East 20th.","2018-03-07 20:26:11.025148"
94918d8b-d6f1-4553-b28b-aab2fce99cd9,-122.6495594,45.4743415,"Geo Location: 1610 SE Glenwood St, Portland, OR 97202, USA","Transcript:  feeling 964 Glenwood Medical","2018-03-07 20:29:04.746543"
8f692651-773e-49d9-a2ec-bbd2f0668191,-122.6444081,45.536065,"Geo Location: 1820 NE 21st Ave, Portland, OR 97212, USA","Transcript:  Central","2018-03-07 20:29:53.671942"
5509751f-66c0-4cbc-9d87-8966b23196a4,-122.6801343,45.5134542,"Geo Location: Portland, OR, USA","Transcript:  Downtown garlic and clear","2018-03-07 20:29:54.885501"
73fabda4-c388-439f-b36d-d477c906bb82,-122.6790994,45.5193389,"Geo Location: 621 SW Morrison St, Portland, OR 97205, USA","Transcript:  search for downtown American Bank building","2018-03-07 20:32:07.415798"
f5466623-cdca-499b-b3f7-339a041964ad,-122.6833692,45.5187249,"Geo Location: 1020 SW Taylor St #855, Portland, OR 97205, USA","Transcript:  I got one going but it's underneath of probably Bridget's NATO","2018-03-07 20:32:56.729518"
2dab6bb7-8c81-4f63-8a3c-8f8c90e180ab,-123.1212278,46.1037224,"Geo Location: Oregon 97016, USA","Transcript:  Beaver County Jail","2018-03-07 20:32:58.828653"
b3523be2-130b-4b22-bb01-6d467464239a,-122.677717,45.5176988,"Geo Location: 888 SW 5th Ave, Portland, OR 97204, USA","Transcript:  75814 by the yard 4945 building just to the south of that","2018-03-07 20:33:36.768610"
b89f487b-c19f-4f08-aa48-5b72d553254a,-122.676229,45.5300367,"Geo Location: 945 NW Naito Pkwy, Portland, OR 97209, USA","Transcript:  945 Northwest naito","2018-03-07 20:33:37.815923"
dcb29265-87df-43e6-9fee-13d089b216b5,-122.6740345,45.531892,"Geo Location: N Broadway, Portland, OR 97227, USA","Transcript:  I want to see United for sale south of the Broadway Bridge","2018-03-07 20:33:40.293582"
1bc88d93-b6e2-48f7-9964-5cd8a9ce30ee,-123.8046036,45.4248549,"Geo Location: 5995 Long Prairie Rd, Tillamook, OR 97141, USA","Transcript: Tillamook County coming from 20 division","2018-03-07 20:34:19.774902"
f9d2239c-cada-4b58-bba4-cc7427439ad0,-122.7471496,45.5769676,"Geo Location: Willamette River Greenway Trail, Portland, OR 97209, USA","Transcript:  turn on. Coffee you know what I found on the bridge","2018-03-07 20:35:09.658192"
69fa58cf-ca2d-46f3-a352-ad3bba189b22,-122.661299,45.5371973,"Geo Location: 409 NE San Rafael St, Portland, OR 97212, USA","Transcript: Windows to a building on the corner of building","2018-03-07 20:35:50.092503"
711b903a-ef87-4f6f-82f1-aa6080fb6b8b,-121.920595,42.564827,"Geo Location: Chiloquin, OR 97624, USA","Transcript: 3652 deerford","2018-03-07 21:05:05.906363"
